,dotDelay,pressOnset,ansTime,timeDelta
count,5.0,5.0,5.0,5.0
mean,54.0,1.544,2.5664000000000002,1.0224
std,5.431390245600108,0.5143563939526755,1.1366971012543317,0.8856682787590398
min,47.0,0.896,1.306,0.23499999999999988
25%,52.0,1.268,1.503,0.41000000000000003
50%,52.0,1.552,2.986,0.77
75%,59.0,1.735,3.039,1.2510000000000001
max,60.0,2.269,3.998,2.446
