,dotDelay,pressOnset,ansTime,timeDelta
count,5.0,5.0,5.0,5.0
mean,47.4,2.114,4.1894,2.0754
std,6.58027355054484,0.8751642702944401,1.3955240234406572,1.856984329497694
min,41.0,1.102,2.785,-0.34899999999999975
25%,43.0,1.538,2.922,1.0740000000000003
50%,44.0,1.895,3.975,1.82
75%,54.0,2.901,5.621,3.7260000000000004
max,55.0,3.134,5.644,4.106
