,dotDelay,pressOnset,ansTime,timeDelta
count,5.0,5.0,5.0,5.0
mean,44.8,1.0016,2.5414000000000003,1.5398
std,4.08656334834051,0.9860909187290997,0.9901895273128272,1.2188417452647409
min,38.0,0.301,1.214,0.30100000000000016
25%,44.0,0.362,1.768,0.789
50%,47.0,0.668,2.999,0.913
75%,47.0,0.979,3.329,2.7289999999999996
max,48.0,2.698,3.397,2.967
