,dotDelay,pressOnset,ansTime,timeDelta
count,5.0,5.0,5.0,5.0
mean,49.2,3.497,9.9994,6.502399999999999
std,8.729261137118078,0.9208802853791582,8.581811889105936,8.170066021765063
min,39.0,2.185,2.359,-0.5020000000000002
25%,41.0,2.861,4.112,-0.004999999999999893
50%,53.0,4.117,7.346,5.161
75%,54.0,4.156,12.451,8.295000000000002
max,59.0,4.166,23.729,19.563
