,dotDelay,pressOnset,ansTime,timeDelta
count,5.0,5.0,5.0,5.0
mean,52.4,1.8864,3.0224,1.1359999999999997
std,9.126883367283709,0.91248578071113,0.8870337084913965,0.663561225509749
min,38.0,0.778,1.716,0.3899999999999997
25%,49.0,1.061,2.868,0.655
50%,56.0,2.266,2.88,1.2109999999999994
75%,59.0,2.478,3.588,1.322
max,60.0,2.849,4.06,2.102
